run,param_group,param_value,stage,kind,gas in pressure[kpa],gas in temp[°C],gas in enthalpy[kJ/kg],gas out pressure[kpa],gas out temp[°C],gas out enthalpy[kJ/kg],water in temp[°C],water in enthalpy[kJ/kg],water in pressure[kpa],water out temp[°C],water out enthalpy[kJ/kg],water out pressure[kpa],gas avg velocity[m/s],water avg velocity[m/s],pressure drop fric[kpa],pressure drop minor[kpa],pressure drop total[kpa],water pressure drop fric[kpa],water pressure drop minor[kpa],water pressure drop total[kpa],Q conv[MW],Q rad[MW],Q total[MW],UA[MW/K],steam capacity[t/h]
drum_pressure_4.0bar,drum_pressure,4.0,HX_6,economiser,101.23098309181428,189.55456444242492,183.75464905499481,89.51790610593294,138.49186103999472,126.05440058064322,104.90064008896991,440.0,400.0594078065516,117.50713583597695,493.3470296652571,399.99999523646943,44.677039742139314,0.03464231526318581,-7.852152651053003,-3.8609243348283186,-11.713076985881322,-0.05838736058687947,-0.001025209495144157,-0.05941257008202363,0.10322700204841931,7.305911071734808e-05,0.10330006115913663,0.0021834981526306593,
drum_pressure_10.0bar,drum_pressure,10.0,HX_1,single_tube,101.325,1981.2459839107391,2612.28925950519,101.32249180181356,860.8685681096794,1014.0189711586983,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,5.041041876271002,,-0.00026185672299712965,-0.0022463414634468198,-0.0025081981864439494,,,,0.10851106743142605,2.7528525129578587,2.8613635803892845,0.0024132116886717257,4.550162898827438
drum_pressure_10.0bar,drum_pressure,10.0,HX_2,reversal_chamber,101.32249180181356,860.8685681096794,1014.0189711586983,101.32208927369891,804.1367185550602,938.9043828879011,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,2.898236977022768,,-1.4955271904767272e-05,-0.0003875728427669513,-0.00040252811467171855,,,,0.009455548958115801,0.12502118354804273,0.1344767325061585,0.00020441429876645088,0.21384595903810907
drum_pressure_10.0bar,drum_pressure,10.0,HX_3,tube_bank,101.32208927369891,804.1367185550602,938.9043828879011,101.27409313231317,332.77722753950354,349.3886892329869,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,7.668487032500493,,-0.029064536136726354,-0.018931605248974567,-0.04799614138570092,,,,0.8443481148932045,0.21105458974401692,1.0554027046372212,0.0030584707659601987,1.6783096922304002
drum_pressure_10.0bar,drum_pressure,10.0,HX_4,reversal_chamber,101.27409313231317,332.77722753950354,349.3886892329869,101.27387404569274,328.16485678641834,343.960936132601,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,1.5845727337404074,,-7.407241662822478e-06,-0.00021167937876874612,-0.0002190866204315686,,,,0.0018345085190495597,0.00788275563113852,0.00971726415018808,6.436104486241858e-05,0.015452469975268338
drum_pressure_10.0bar,drum_pressure,10.0,HX_5,tube_bank,101.27387404569274,328.16485678641834,343.960936132601,101.22751878999114,220.5082684411713,219.0618028328442,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,6.235948875367701,,-0.02809386681231517,-0.018261388889246992,-0.04635525570156216,,,,0.20594360480125387,0.017661820670933286,0.2236054254721872,0.002649887293612528,0.3555791084828333
drum_pressure_10.0bar,drum_pressure,10.0,HX_6,economiser,101.22751878999114,220.5082684411713,219.0618028328442,88.87846565834099,152.38352541432988,141.6869292016374,104.79547299623715,440.0,1000.0568854105127,122.08677760733354,513.2085938766146,999.9999931831245,47.03790833305927,0.03391426148608761,-8.296722409394967,-4.052330722255164,-12.34905313165013,-0.055911202858177814,-0.0009810245300526522,-0.05689222738823048,0.13840935512194924,0.00011394144671264829,0.13852329656866186,0.002109939784710054,
drum_pressure_16.0bar,drum_pressure,16.0,HX_1,single_tube,101.325,1981.2459839107391,2612.28925950519,101.32249203744371,859.4824465366497,1012.1746577879508,201.3783080151528,858.6100728411207,1600.0,201.3783080151528,858.6100728411207,1600.0,5.037014915259406,,-0.0002616210928645473,-0.0022463414634468198,-0.002507962556311367,,,,0.10560836433525403,2.759057067506604,2.8646654318418583,0.002467557540234984,4.5485999314377255
drum_pressure_16.0bar,drum_pressure,16.0,HX_2,reversal_chamber,101.32249203744371,859.4824465366497,1012.1746577879508,101.32208997329334,802.9619647439368,937.3571262594301,201.3783080151528,858.6100728411207,1600.0,201.3783080151528,858.6100728411207,1600.0,2.894923674234593,,-1.4935381451347946e-05,-0.0003871287689356454,-0.0004020641503869933,,,,0.009095721644593446,0.1248491937938963,0.13394491543848971,0.00021106439855985538,0.21268167179586372
drum_pressure_16.0bar,drum_pressure,16.0,HX_3,tube_bank,101.32208997329334,802.9619647439368,937.3571262594301,101.27356968931441,346.0297814595152,365.02038694182505,201.3783080151528,858.6100728411207,1600.0,201.3783080151528,858.6100728411207,1600.0,7.742268594257792,,-0.029382411821401756,-0.019137872157532064,-0.04852028397893382,,,,0.8098587613214457,0.21478867366862686,1.0246474349900727,0.003103615401546411,1.6269652995906914
drum_pressure_16.0bar,drum_pressure,16.0,HX_4,reversal_chamber,101.27356968931441,346.0297814595152,365.02038694182505,101.27334578331762,341.3157902410409,359.4539267449928,201.3783080151528,858.6100728411207,1600.0,201.3783080151528,858.6100728411207,1600.0,1.6192366337840483,,-7.595945869554441e-06,-0.00021631005092391541,-0.00022390599679346986,,,,0.0017421060339665425,0.008223484352006432,0.009965590385972974,6.986503041745048e-05,0.015823657186112724
drum_pressure_16.0bar,drum_pressure,16.0,HX_5,tube_bank,101.27334578331762,341.3157902410409,359.4539267449928,101.22541320051124,239.00661564761037,240.28622888249254,201.3783080151528,858.6100728411207,1600.0,201.3783080151528,858.6100728411207,1600.0,6.425454968248732,,-0.029096385718351964,-0.01883619708804501,-0.04793258280639698,,,,0.1945978156739774,0.018746692070138012,0.21334450774411526,0.002698476198829438,0.3387546770770924
drum_pressure_16.0bar,drum_pressure,16.0,HX_6,economiser,101.22541320051124,239.00661564761037,240.28622888249254,88.4966735697354,160.44047255436993,150.7754429454049,104.69019943681081,440.0,1600.0560029110538,124.89827196646797,525.5733035102915,1599.9999971141706,48.44708852188003,0.033598665075512436,-8.563056448313972,-4.165683182461884,-12.728739630775857,-0.05504373484620384,-0.0009620620366523649,-0.05600579688285621,0.16010632943161013,0.0001437404308769271,0.16025006986248708,0.002084934761803007,
excess_air_1.0,excess_air,1.0,HX_1,single_tube,101.325,2052.157269947184,2735.1748406719894,101.32264093156373,848.1339132234413,1002.2476787383762,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,4.822736760333713,,-0.0002418856652493778,-0.002117182771005798,-0.0023590684362551763,,,,0.10470442193454507,2.8582527668389326,2.962957188773479,0.002456834171082606,4.704899187632983
excess_air_1.0,excess_air,1.0,HX_2,reversal_chamber,101.32264093156373,848.1339132234413,1002.2476787383762,101.32227730081148,791.0700436858864,926.4262833336129,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,2.74052160753646,,-1.3617756979150202e-05,-0.00035001299526876993,-0.0003636307522479201,,,,0.008967048651065148,0.12067231155084988,0.12963936020191505,0.00020104071954015084,0.2058551918368201
excess_air_1.0,excess_air,1.0,HX_3,tube_bank,101.32227730081148,791.0700436858864,926.4262833336129,101.2787130712627,326.56694133263375,343.6573734240928,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,7.246175934000518,,-0.02645922566099557,-0.01710500388778251,-0.04356422954877808,,,,0.789942360373264,0.20647538951557337,0.996417749888837,0.002971158704074414,1.5822182918328624
excess_air_1.0,excess_air,1.0,HX_4,reversal_chamber,101.2787130712627,326.56694133263375,343.6573734240928,101.27851488830551,322.00235671130326,338.2676231716736,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,1.5004732652503723,,-6.749931515759709e-06,-0.00019143302567920333,-0.00019818295719496306,,,,0.0016992543595617934,0.007516158888468469,0.009215413248030262,6.364710606297468e-05,0.014633215244769621
excess_air_1.0,excess_air,1.0,HX_5,tube_bank,101.27851488830551,322.00235671130326,338.2676231716736,101.23624453404418,218.19554021550294,217.37514646320184,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,5.922076275115964,,-0.02569891712203292,-0.016571437139283333,-0.042270354261316256,,,,0.18950711569513234,0.017194771433374525,0.20670188712850682,0.0025718310380834614,0.32822328466908735
excess_air_1.0,excess_air,1.0,HX_6,economiser,101.23624453404418,218.19554021550294,217.37514646320184,90.04622659153131,150.15684530457787,139.77794015792665,104.79547295251291,440.0,1000.0571347401151,121.30686845330575,509.8960955815151,999.9999866493841,44.53654976835307,0.03400818507517155,-7.528551817769843,-3.6614661247430043,-11.190017942512847,-0.05616124798878699,-0.0009868427421760788,-0.057148090730963066,0.13256015197157794,0.00011549083304998481,0.13267564280462796,0.002072059612999401,
excess_air_1.05,excess_air,1.05,HX_1,single_tube,101.325,1981.2459839107391,2612.28925950519,101.32249180181356,860.8685681096794,1014.0189711586983,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,5.041041876271002,,-0.00026185672299712965,-0.0022463414634468198,-0.0025081981864439494,,,,0.10851106743142605,2.7528525129578587,2.8613635803892845,0.0024132116886717257,4.550162898827438
excess_air_1.05,excess_air,1.05,HX_2,reversal_chamber,101.32249180181356,860.8685681096794,1014.0189711586983,101.32208927369891,804.1367185550602,938.9043828879011,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,2.898236977022768,,-1.4955271904767272e-05,-0.0003875728427669513,-0.00040252811467171855,,,,0.009455548958115801,0.12502118354804273,0.1344767325061585,0.00020441429876645088,0.21384595903810907
excess_air_1.05,excess_air,1.05,HX_3,tube_bank,101.32208927369891,804.1367185550602,938.9043828879011,101.27409313231317,332.77722753950354,349.3886892329869,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,7.668487032500493,,-0.029064536136726354,-0.018931605248974567,-0.04799614138570092,,,,0.8443481148932045,0.21105458974401692,1.0554027046372212,0.0030584707659601987,1.6783096922304002
excess_air_1.05,excess_air,1.05,HX_4,reversal_chamber,101.27409313231317,332.77722753950354,349.3886892329869,101.27387404569274,328.16485678641834,343.960936132601,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,1.5845727337404074,,-7.407241662822478e-06,-0.00021167937876874612,-0.0002190866204315686,,,,0.0018345085190495597,0.00788275563113852,0.00971726415018808,6.436104486241858e-05,0.015452469975268338
excess_air_1.05,excess_air,1.05,HX_5,tube_bank,101.27387404569274,328.16485678641834,343.960936132601,101.22751878999114,220.5082684411713,219.0618028328442,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,6.235948875367701,,-0.02809386681231517,-0.018261388889246992,-0.04635525570156216,,,,0.20594360480125387,0.017661820670933286,0.2236054254721872,0.002649887293612528,0.3555791084828333
excess_air_1.05,excess_air,1.05,HX_6,economiser,101.22751878999114,220.5082684411713,219.0618028328442,88.87846565834099,152.38352541432988,141.6869292016374,104.79547299623715,440.0,1000.0568854105127,122.08677760733354,513.2085938766146,999.9999931831245,47.03790833305927,0.03391426148608761,-8.296722409394967,-4.052330722255164,-12.34905313165013,-0.055911202858177814,-0.0009810245300526522,-0.05689222738823048,0.13840935512194924,0.00011394144671264829,0.13852329656866186,0.002109939784710054,
excess_air_1.1,excess_air,1.1,HX_1,single_tube,101.325,1915.2969035755818,2499.9777686340844,101.3223406191432,872.3745546357794,1024.4576087925973,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,5.254453569192218,,-0.00028222160447567414,-0.0023771592522904123,-0.0026593808567660867,,,,0.1121088882100946,2.648259246568229,2.7603681347783247,0.002367044056605558,4.396037685566437
excess_air_1.1,excess_air,1.1,HX_2,reversal_chamber,101.3223406191432,872.3745546357794,1024.4576087925973,101.32189727880858,816.1154891616933,950.2169149213136,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,3.0557233292731496,,-1.6345391597677493e-05,-0.0004269949429996714,-0.00044334033459734887,,,,0.009934946213523404,0.12895279579398108,0.13888774200750448,0.00020738440986508636,0.2211863483843795
