stage_name,i,x[m],dx[m],qprime[MW/m],UA_prime[MW/K/m],gas_P[kPa],gas_T[°C],gas_h[kJ/kg],water_P[kPa],water_T[°C],water_h[kJ/kg],gas_eps[-],water_x[-],boiling,gas_V[m/s],Re_gas[-],h_gas[W/m^2/K],water_V[m/s],Re_water[-],h_water[W/m^2/K],dP_fric[kPa],dP_minor[kPa],dP_total[kPa],water_dP_fric[kPa],water_dP_minor[kPa],water_dP_total[kPa],water_cp[kJ/kg/K],water_mu[Pa*s],water_k[W/m/K],water_rho[kg/m^3]
HX_1,18,1.7918490566037735,0.09954716981132075,0.4561572322461268,0.0004283748313047703,101.3219338975335,1241.5077118867534,1502.4293478712948,1000.0,179.88563239146663,762.6828443354104,0.4291195802560509,0.0,true,6.312961434798054,36306.792498017516,112.83909649827268,,,37882.74161983661,-7.216010668503844e-06,-0.0,-7.216010668503844e-06,,,,,,,
HX_1,19,1.8913962264150943,0.09954716981132075,0.43895899872718297,0.00041822609359801996,101.32192668152284,1226.38070397939,1481.7203938630596,1000.0,179.88563239146663,762.6828443354104,0.4283074359259599,0.0,true,6.249913828329765,36553.98179546594,109.76211756231707,,,36918.89356795253,-7.132970216364733e-06,-0.0,-7.132970216364733e-06,,,,,,,
HX_1,20,1.990943396226415,0.09954716981132075,0.4228473461077342,0.0004086079420845662,101.32191954855261,1211.79914214448,1461.792217625681,1000.0,179.88563239146663,762.6828443354104,0.4275160611478067,0.0,true,6.1891395798607585,36796.39170401913,106.86675476527087,,,36004.623180115006,-7.053047301483231e-06,-0.0,-7.053047301483231e-06,,,,,,,
HX_1,21,2.0904905660377358,0.09954716981132075,0.40772685548676524,0.00039947926387431715,101.32191249550532,1197.7292824164765,1442.595489778232,1000.0,179.88563239146663,762.6828443354104,0.42674437656183317,0.0,true,6.130498048269805,37034.24781970784,104.13722362601244,,,35136.12839725133,-6.976044692007665e-06,-0.0,-6.976044692007665e-06,,,,,,,
HX_1,22,2.1900377358490566,0.09954716981132075,0.3935127145749809,0.0003908030999214983,101.32190551946061,1184.1403094000534,1424.085212835658,1000.0,179.88563239146663,762.6828443354104,0.42599138641224943,0.0,true,6.073860798396072,37267.75913555027,101.5595210751911,,,34309.98927225953,-6.9017825314990066e-06,-0.0,-6.9017825314990066e-06,,,,,,,
HX_1,23,2.2895849056603774,0.09954716981132075,0.38012930536310463,0.0003825461343660011,101.32189861767809,1171.004013180157,1406.2202396821958,1000.0,179.88563239146663,762.6828443354104,0.4252561700891909,0.0,true,6.019110254435334,37497.11966209213,99.1211813593163,,,33523.12103801142,-6.830096400312378e-06,-0.0,-6.830096400312378e-06,,,,,,,
HX_1,24,2.3891320754716983,0.09954716981132075,0.3675090090447583,0.00037467825702389005,101.32189178758169,1158.294509024241,1388.9628561628367,1000.0,179.88563239146663,762.6828443354104,0.42453787471279125,0.0,true,5.9661385316893725,37722.509853997035,96.81107089776764,,,32772.73391783962,-6.76083563610228e-06,-0.0,-6.76083563610228e-06,,,,,,,
HX_1,25,2.4886792452830186,0.09954716981132075,0.35559119056199384,0.0003671721871762344,101.32188502674606,1145.9879933210768,1372.2784179297607,1000.0,179.88563239146663,762.6828443354104,0.4238357086096808,0.0,true,5.914846419345494,37944.09786982725,94.61921505463633,,,32056.298579041326,-6.693861873440867e-06,-0.0,-6.693861873440867e-06,,,,,,,
HX_1,26,2.5882264150943395,0.09954716981132075,0.34432133234325785,0.0003600031489297806,101.32187833288418,1134.062530332218,1356.1350333891057,1000.0,179.88563239146663,762.6828443354104,0.4231489355565474,0.0,true,5.865142491679848,38162.04068784981,92.53665119817965,,,31371.516329002243,-6.629047769495015e-06,-0.0,-6.629047769495015e-06,,,,,,,
HX_1,27,2.6877735849056603,0.09954716981132075,0.3336502925048611,0.00035314859013312104,101.32187170383641,1122.4978652479626,1340.5032859749217,1000.0,179.88563239146663,762.6828443354104,0.4224768696853408,0.0,true,5.816942328895049,38376.48509717393,90.55530352250965,,,30716.293313264847,-6.566275888327409e-06,-0.0,-6.566275888327409e-06,,,,,,,
HX_1,28,2.787320754716981,0.09954716981132075,0.3235336673242377,0.0003465879382145703,101.32186513756052,1111.2752597843491,1325.3559900998268,1000.0,179.88563239146663,762.6828443354104,0.4218188709611437,0.0,true,5.770167831906379,38587.56858056451,88.66787597203151,,,30088.71810361129,-6.505437720951089e-06,-0.0,-6.505437720951089e-06,,,,,,,
HX_1,29,2.886867924528302,0.09954716981132075,0.31393124142239065,0.00034030238743033804,101.32185863212281,1100.3773471661843,1310.6679760485622,1000.0,179.88563239146663,762.6828443354104,0.4211743411573141,0.0,true,5.72474661792687,38795.42010285847,86.8677602936942,,,29487.042168482516,-6.44643282198927e-06,-0.0,-6.44643282198927e-06,,,,,,,
HX_1,30,2.9864150943396224,0.09954716981132075,0.30480651200992515,0.0003342747129265286,101.32185218568999,1089.7880038405337,1296.4158998325595,1000.0,179.88563239146663,762.6828443354104,0.42054272026379025,0.0,true,5.680611485783127,39000.160816862364,85.14895678639772,,,28909.66280284662,-6.389168046844465e-06,-0.0,-6.389168046844465e-06,,,,,,,
HX_1,31,3.085962264150943,0.09954716981132075,0.29612627590669993,0.0003284891077672836,101.32184579652194,1079.4922356767925,1282.5780746431303,1000.0,179.88563239146663,762.6828443354104,0.4199234832738602,0.0,true,5.637699941609664,39201.904696906495,83.50600575201751,,,28355.10816388581,-6.33355687579324e-06,-0.0,-6.33355687579324e-06,,,,,,,
HX_1,32,3.185509433962264,0.09954716981132075,0.2878602699560985,0.00032293103969661404,101.32183946296507,1069.4760767503499,1269.1343210534294,1000.0,179.88563239146663,762.6828443354104,0.4193161373025541,0.0,true,5.59595377699027,39400.75910880054,81.9339280021773,,,27822.02411567616,-6.279518813500336e-06,-0.0,-6.279518813500336e-06,,,,,,,
HX_1,33,3.285056603773585,0.09954716981132075,0.2799808570119533,0.00031758712490887755,101.32183318344626,1059.726499090153,1256.0658335451562,1000.0,179.88563239146663,762.6828443354104,0.4187202189964402,0.0,true,5.555318692795734,39596.825323727935,80.42817305731296,,,27309.1626328131,-6.226978854170396e-06,-0.0,-6.226978854170396e-06,,,,,,,
HX_1,34,3.3846037735849057,0.09954716981132075,0.2724627509501266,0.0003124450165228745,101.3218269564674,1050.2313320069293,1243.3550612910433,1000.0,179.88563239146663,762.6828443354104,0.4181352922001581,0.0,true,5.5157439629526985,39790.19898259408,78.98457390374983,,,26815.371551606047,-6.175867003993025e-06,-0.0,-6.175867003993025e-06,,,,,,,
HX_1,35,3.484150943396226,0.09954716981132075,0.2652827752033933,0.00030749330580347916,101.32182078060039,1040.9791898168542,1230.985601421466,1000.0,179.88563239146663,762.6828443354104,0.41756094584974157,0.0,true,5.477182133203823,39980.9705164764,77.59930736135551,,,26339.58548955488,-6.126117853739517e-06,-0.0,-6.126117853739517e-06,,,,,,,
HX_1,36,3.583698113207547,0.09954716981132075,0.258419650181487,0.0003027214344656116,101.32181465448255,1031.9594069419277,1218.9421032532637,1000.0,179.88563239146663,762.6828443354104,0.416996792066768,0.0,true,5.439588750613265,40169.22552808833,76.26885926732429,,,25880.81778054505,-6.077670195379272e-06,-0.0,-6.077670195379272e-06,,,,,,,
