name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.32171704846246,101.32109264055737,101.24785721277478,101.24751643641798,101.1777937123544
gas in temp[°C],1691.8298080846498,906.3888997643925,853.2989956603384,360.1053079610854,355.38163078742446,231.35143884286663
gas in enthalpy[kJ/kg],2133.184124029639,1052.9149197525041,983.6915124649436,374.7620215952762,369.27413698284073,227.46649066880624
gas out pressure[kpa],101.32171704846246,101.32109264055737,101.24785721277478,101.24751643641798,101.1777937123544,81.86919436480551
gas out temp[°C],906.3888997643925,853.2989956603384,360.1053079610854,355.38163078742446,231.35143884286663,163.16068537863322
gas out enthalpy[kJ/kg],1052.9149197525041,983.6915124649436,374.7620215952762,369.27413698284073,227.46649066880624,151.24666506853094
water in temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,104.7954732574446
water in enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,440.0
water in pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.0553959285537
water out temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,125.99997488918052
water out enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,529.8456234847313
water out pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,999.9999828073634
gas avg velocity[m/s],6.053861156068094,3.676179123424064,9.803425764482405,2.01462784794321,7.839917808588855,60.56653744881342
water avg velocity[m/s],,,,,,0.03340865162101821
pressure drop fric[kpa],-0.00036657932606277207,-2.2368343898538556e-05,-0.043748101754011955,-1.114987836277599e-05,-0.04166971630915635,-12.885264976416439
pressure drop minor[kpa],-0.0029163722114909536,-0.0006020395611705091,-0.029487326028554403,-0.0003296264784324369,-0.028053007754407215,-6.4233343711324355
pressure drop total[kpa],-0.0032829515375537256,-0.0006244079050690477,-0.07323542778256635,-0.0003407763567952129,-0.06972272406356356,-19.308599347548874
water pressure drop fric[kpa],,,,,,-0.05446290895231956
water pressure drop minor[kpa],,,,,,-0.0009502122380441169
water pressure drop total[kpa],,,,,,-0.05541312119036366
Q conv[MW],0.12432750767864871,0.011731672027858997,1.110916258147305,0.002527820463461234,0.29150219659392157,0.16702278576545032
Q rad[MW],2.2444120676766923,0.14005663821624353,0.2243022257484851,0.00950566376011678,0.019443852956190742,0.00010679111280868496
Q total[MW],2.3687395753553426,0.15178831024410253,1.3352184838957901,0.012033484223578014,0.3109460495501121,0.16712957687825905
UA[MW/K],0.0021661706508245516,0.0002151273773874658,0.0034727014081076444,6.749785090463547e-05,0.0030318670539616847,0.002225990313873529
steam capacity[t/h],3.79441059722254,0.24314499530338848,2.1388451552938554,0.019276065859880377,0.49809485088728495,
