name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.32359083052278,101.32338376450053,101.29739669072906,101.29727991242198,101.27120117138087
gas in temp[°C],1981.2459839107387,762.5385869323549,709.458062190926,300.0274077300022,295.7548987663148,208.8970992886854
gas in enthalpy[kJ/kg],2612.289259505189,884.3229260406189,815.2949687218792,310.989056159073,306.00325146426076,205.78744688962354
gas out pressure[kpa],101.32359083052278,101.32338376450053,101.29739669072906,101.29727991242198,101.27120117138087,94.57286115561192
gas out temp[°C],762.5385869323549,709.458062190926,300.0274077300022,295.7548987663148,208.8970992886854,142.1098148400198
gas out enthalpy[kJ/kg],884.3229260406189,815.2949687218792,310.989056159073,306.00325146426076,205.78744688962354,130.12118869383448
water in temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,104.79547809917091
water in enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,440.0
water in pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.0277869614524
water out temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,121.63014978104474
water out enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,511.2690339615132
water out pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,999.9999998940676
gas avg velocity[m/s],3.5276700010969684,1.9838540609197737,5.329270406088172,1.1240214968328228,4.49829554495215,33.45143865378639
water avg velocity[m/s],,,,,,0.02555032698563787
pressure drop fric[kpa],-0.00014560240402495509,-8.088678260005724e-06,-0.01608760098650899,-4.162215363950996e-06,-0.016171941523083218,-4.538997363308404
pressure drop minor[kpa],-0.0012635670731888345,-0.00019897734396122138,-0.009899472784925091,-0.00011261609167790423,-0.009906799518057046,-2.1593426524605395
pressure drop total[kpa],-0.0014091694772137894,-0.0002070660222212271,-0.02598707377143408,-0.00011677830704185522,-0.02607874104114026,-6.6983400157689434
water pressure drop fric[kpa],,,,,,-0.027230333976265585
water pressure drop minor[kpa],,,,,,-0.0005567334084288296
water pressure drop total[kpa],,,,,,-0.027787067384694417
Q conv[MW],0.0786401849329865,0.006329814367096645,0.5345889350794912,0.001133566486624386,0.12237520641713485,0.10150412523851944
Q rad[MW],2.241527422063816,0.08635511902037939,0.14255057884410843,0.005560969031572341,0.01218616950745577,9.416380532214251e-05
Q total[MW],2.320167606996802,0.09268493338747603,0.6771395139235992,0.006694535518196725,0.13456137592459058,0.10159828904384156
UA[MW/K],0.002071405772719017,0.00016540972151894213,0.0023818615125538126,5.6537284945898695e-05,0.0021127848665712383,0.0018944410488590155
steam capacity[t/h],3.6864620097423826,0.147265001363716,1.0758917096536347,0.010636796577229896,0.2138015369358401,
