stage_name,i,x[m],dx[m],qprime[MW/m],UA_prime[MW/K/m],gas_P[kPa],gas_T[°C],gas_h[kJ/kg],water_P[kPa],water_T[°C],water_h[kJ/kg],gas_eps[-],water_x[-],boiling,gas_V[m/s],Re_gas[-],h_gas[W/m^2/K],water_V[m/s],Re_water[-],h_water[W/m^2/K],dP_fric[kPa],dP_minor[kPa],dP_total[kPa],water_dP_fric[kPa],water_dP_minor[kPa],water_dP_total[kPa],water_cp[kJ/kg/K],water_mu[Pa*s],water_k[W/m/K],water_rho[kg/m^3]
HX_1,0,0.0,0.09954716981132075,1.8183763540230462,0.001072281303206319,101.325,1796.3014096181423,2302.050308381483,1000.0,179.88563239146663,762.6828443354104,0.46272560922092887,0.0,true,8.011918700203172,27331.49301754259,355.5905808378255,,,96612.62430591283,-9.059523235592084e-06,-0.0026436357054556527,-0.002652695228691245,,,,,,,
HX_1,1,0.09954716981132075,0.09954716981132075,1.4335179624569476,0.0008895846532038682,101.32234730477131,1734.796601075217,2212.9577005297356,1000.0,179.88563239146663,762.6828443354104,0.4604008472861054,0.0,true,7.774005241372772,27886.690529027917,280.01778984953387,,,82170.03966781466,-8.749235007979447e-06,-0.0,-8.749235007979447e-06,,,,,,,
HX_1,2,0.1990943396226415,0.09954716981132075,1.2583209055833768,0.0008243416042434631,101.32233855553629,1686.1262990953446,2142.7214959092075,1000.0,179.88563239146663,762.6828443354104,0.4585044855922096,0.0,true,7.585573005551881,28347.197039866725,253.34652437596893,,,74934.56460392526,-8.504578154987263e-06,-0.0,-8.504578154987263e-06,,,,,,,
HX_1,3,0.2986415094339623,0.09954716981132075,1.1489478041788057,0.0007784399236296105,101.32233005095813,1643.2629273682828,2081.0691923332197,1000.0,179.88563239146663,762.6828443354104,0.45678889370471154,0.0,true,7.41962294763176,28769.37960288058,234.80438052639977,,,70431.5623467917,-8.289909975283449e-06,-0.0,-8.289909975283449e-06,,,,,,,
HX_1,4,0.398188679245283,0.09954716981132075,1.0600726581856437,0.0007388887988852754,101.32232176104816,1604.0036462317912,2024.7756995509185,1000.0,179.88563239146663,762.6828443354104,0.45517850792044445,0.0,true,7.267626517459302,29170.594738575277,219.29312770244996,,,66715.79593165319,-8.093959566061919e-06,-0.0,-8.093959566061919e-06,,,,,,,
HX_1,5,0.49773584905660373,0.09954716981132075,0.9830462258392739,0.0007035515157702763,101.3223136670886,1567.67323635793,1972.8367060515632,1000.0,179.88563239146663,762.6828443354104,0.45365362966449174,0.0,true,7.126969527549273,29554.987275394982,205.84073819999873,,,63419.352596284225,-7.913205969268176e-06,-0.0,-7.913205969268176e-06,,,,,,,
HX_1,6,0.5972830188679246,0.09954716981132075,0.915251902469646,0.0006716882827500758,101.32230575388262,1533.8858566068352,1924.6716767038329,1000.0,179.88563239146663,762.6828443354104,0.4522044482513291,0.0,true,6.996158151786238,29924.412423635815,194.0328455389962,,,60448.428728087005,-7.745611317753244e-06,-0.0,-7.745611317753244e-06,,,,,,,
HX_1,7,0.6968301886792453,0.09954716981132075,0.8551438366006948,0.0006428049220153075,101.32229800827129,1502.3413214226139,1879.8282770910125,1000.0,179.88563239146663,762.6828443354104,0.4508234658364797,0.0,true,6.874030189248882,30280.248113523485,183.58396459675558,,,57753.751953321924,-7.58958909662968e-06,-0.0,-7.58958909662968e-06,,,,,,,
HX_1,8,0.796377358490566,0.09954716981132075,0.8015400366871813,0.0006165042478750536,101.3222904186822,1472.7894145788364,1837.9299137139024,1000.0,179.88563239146663,762.6828443354104,0.44950432630559256,0.0,true,6.75961690073825,30623.664681972463,174.27311923733865,,,55297.98468607578,-7.443820015223996e-06,-0.0,-7.443820015223996e-06,,,,,,,
HX_1,9,0.8959245283018867,0.09954716981132075,0.7534866506157167,0.0005924561043910517,101.32228297486219,1445.0180681838856,1798.6579055660875,1000.0,179.88563239146663,762.6828443354104,0.4482415287237036,0.0,true,6.652097242481219,30955.68168135281,165.92452102521978,,,53050.45239633886,-7.307188920910324e-06,-0.0,-7.307188920910324e-06,,,,,,,
HX_1,10,0.9954716981132075,0.09954716981132075,0.7102025170135419,0.0005703833692249324,101.32227566767327,1418.8460303114462,1761.7403062847789,1000.0,179.88563239146663,762.6828443354104,0.44703027558363095,0.0,true,6.550769478061268,31277.194336760385,158.39648595001455,,,50985.50360776785,-7.178745170891536e-06,-0.0,-7.178745170891536e-06,,,,,,,
HX_1,11,1.0950188679245283,0.09954716981132075,0.6710423212860455,0.0005500519241723039,101.3222684889281,1394.117319440612,1726.9434430485992,1000.0,179.88563239146663,762.6828443354104,0.44586635901106897,0.0,true,6.455029708179868,31588.992921959907,151.57362050646483,,,49081.51291542031,-7.057672670493152e-06,-0.0,-7.057672670493152e-06,,,,,,,
HX_1,12,1.1945660377358491,0.09954716981132075,0.6354689614003799,0.0005312628114073875,101.32226143125543,1370.6968575331516,1694.0652606707988,1000.0,179.88563239146663,762.6828443354104,0.44474606917947546,0.0,true,6.364354963640111,31891.778433816624,145.36105572827597,,,47320.129473244335,-6.9432663403385095e-06,-0.0,-6.9432663403385095e-06,,,,,,,
HX_1,13,1.2941132075471697,0.09954716981132075,0.603032280021943,0.000513845999275111,101.32225448798908,1348.466987119145,1662.9300196499835,1000.0,179.88563239146663,762.6828443354104,0.4436661194963577,0.0,true,6.278289720864902,32186.175504615392,139.68011967750107,,,45685.68660444931,-6.834913398084248e-06,-0.0,-6.834913398084248e-06,,,,,,,
HX_1,14,1.3936603773584906,0.09954716981132075,0.5733525211100827,0.0004976553946604955,101.32224765307569,1327.3246695164908,1633.3840362545286,1000.0,179.88563239146663,762.6828443354104,0.44262358506228283,0.0,true,6.196435054499075,32472.743108637183,134.46504964026838,,,44164.73268071243,-6.7320783391848766e-06,-0.0,-6.7320783391848766e-06,,,,,,,
HX_1,15,1.4932075471698112,0.09954716981132075,0.546107353293632,0.0004825648300801962,101.32224092099734,1307.1792135277237,1605.2922331625205,1000.0,179.88563239146663,762.6828443354104,0.44161585174579787,0.0,true,6.118439843812153,32751.983485993176,129.660466753827,,,42745.655655665985,-6.634290790399935e-06,-0.0,-6.634290790399935e-06,,,,,,,
HX_1,16,1.592754716981132,0.09954716981132075,0.5210216110097639,0.0004684648166825738,101.32223428670655,1287.9504207288337,1578.5353259003805,1000.0,179.88563239146663,762.6828443354104,0.440640573800108,0.0,true,6.043993591982376,33024.34961848617,125.21941641499568,,,41418.38055677751,-6.5411356134034e-06,-0.0,-6.5411356134034e-06,,,,,,,
HX_1,17,1.6923018867924529,0.09954716981132075,0.4978591232711432,0.00045525990202355124,101.32222774557093,1269.5670604643187,1553.0075119214803,1000.0,179.88563239146663,762.6828443354104,0.4396956383910108,0.0,true,5.972820521874345,33290.25152412504,121.10183316945914,,,40174.124187703164,-6.452244784878727e-06,-0.0,-6.452244784878727e-06,,,,,,,
HX_1,18,1.7918490566037735,0.09954716981132075,0.47641615852028857,0.00044286650787248114,101.32222129332615,1251.9656077298328,1528.6145600399677,1000.0,179.88563239146663,762.6828443354104,0.43877913574815064,0.0,true,5.90467468961456,33550.061583297786,117.27332736653153,,,39005.19497899051,-6.367290689860739e-06,-0.0,-6.367290689860739e-06,,,,,,,
HX_1,19,1.8913962264150943,0.09954716981132075,0.4565161299675302,0.0004312111510903326,101.32221492603547,1235.0891921600087,1505.2722210384707,1000.0,179.88563239146663,762.6828443354104,0.437889333917181,0.0,true,5.839335915483669,33804.11906734793,113.70421809390565,,,37904.82869387426,-6.285980547531909e-06,-0.0,-6.285980547531909e-06,,,,,,,
HX_1,20,1.990943396226415,0.09954716981132075,0.4380052911961287,0.0004202289718762841,101.32220864005492,1218.8867176919543,1482.90489769144,1000.0,179.88563239146663,762.6828443354104,0.43702465729694795,0.0,true,5.776606375598131,34052.73400699529,110.36875634299857,,,36867.052786237626,-6.208051750751449e-06,-0.0,-6.208051750751449e-06,,,,,,,
HX_1,21,2.0904905660377358,0.09954716981132075,0.4207492151706569,0.00040986250998096977,101.32220243200317,1203.312121111294,1461.4445256852896,1000.0,179.88563239146663,762.6828443354104,0.43618366830714406,0.0,true,5.716307731290773,34296.190511703455,107.24449637910992,,,35886.57379395004,-6.133267947691875e-06,-0.0,-6.133267947691875e-06,,,,,,,
HX_1,22,2.1900377358490566,0.09954716981132075,0.40462989713624137,0.00040006068203584803,101.32219629873522,1188.3237443059538,1440.829627051953,1000.0,179.88563239146663,762.6828443354104,0.4353650516584746,0.0,true,5.658278698723243,34534.74963021651,104.31178351334293,,,34958.6833609684,-6.061415729962052e-06,-0.0,-6.061415729962052e-06,,,,,,,
HX_1,23,2.2895849056603774,0.09954716981132075,0.3895433575469332,0.00039077792285376625,101.32219023731949,1173.8838001612148,1421.004505547897,1000.0,179.88563239146663,762.6828443354104,0.4345676007972391,0.0,true,5.602372981040821,34768.65182589827,101.5533339983366,,,34079.17941023387,-5.992301819322366e-06,-0.0,-5.992301819322366e-06,,,,,,,
HX_1,24,2.3891320754716983,0.09954716981132075,0.3753976481948067,0.00038197346109639346,101.32218424501768,1159.9579159997497,1401.9185594793157,1000.0,179.88563239146663,762.6828443354104,0.43379020617538,0.0,true,5.548457500751053,34998.11912721014,98.95388836069324,,,33244.29970616795,-5.925750666603595e-06,-0.0,-5.925750666603595e-06,,,,,,,
HX_1,25,2.4886792452830186,0.09954716981132075,0.362111185353339,0.0003736107055917001,101.32217831926701,1146.5147415767142,1383.5256922184085,1000.0,179.88563239146663,762.6828443354104,0.4330318450601245,0.0,true,5.496410882034309,35223.35700304105,96.4999236734641,,,32450.665602059184,-5.861602393232832e-06,-0.0,-5.861602393232832e-06,,,,,,,
HX_1,26,2.5882264150943395,0.09954716981132075,0.3496113496167654,0.0003656567232045735,101.32217245766462,1133.5256110861346,1365.7838043884476,1000.0,179.88563239146663,762.6828443354104,0.43229157264786466,0.0,true,5.446122142164926,35444.556004002676,94.1794134392486,,,31695.234202181586,-5.799711018969754e-06,-0.0,-5.799711018969754e-06,,,,,,,
