stage_name,i,x[m],dx[m],qprime[MW/m],UA_prime[MW/K/m],gas_P[kPa],gas_T[°C],gas_h[kJ/kg],water_P[kPa],water_T[°C],water_h[kJ/kg],gas_eps[-],water_x[-],boiling,gas_V[m/s],Re_gas[-],h_gas[W/m^2/K],water_V[m/s],Re_water[-],h_water[W/m^2/K],dP_fric[kPa],dP_minor[kPa],dP_total[kPa],water_dP_fric[kPa],water_dP_minor[kPa],water_dP_total[kPa],water_cp[kJ/kg/K],water_mu[Pa*s],water_k[W/m/K],water_rho[kg/m^3]
HX_1,0,0.0,0.09954716981132075,2.466328040578969,0.0013325788808756438,101.325,1981.2459839107387,2612.289259505189,1000.0,179.88563239146663,762.6828443354104,0.4831288761266683,0.0,true,9.657593422737493,28505.377430472523,504.91650221692936,,,117975.94489617972,-1.1910542685430252e-05,-0.003509908536635657,-0.003521819079321087,,,,,,,
HX_1,1,0.09954716981132075,0.09954716981132075,2.0000026765430623,0.0011201054657402627,101.32147818092068,1907.6768702633399,2502.579078767459,1000.0,179.88563239146663,762.6828443354104,0.4807096541323601,0.0,true,9.342755870662083,29142.276290789046,391.8272798940217,,,102648.21582553792,-1.1463132509138799e-05,-0.0,-1.1463132509138799e-05,,,,,,,
HX_1,2,0.1990943396226415,0.09954716981132075,1.7474620988438492,0.0010324984624977339,101.32146671778817,1847.7851546395818,2413.612545723099,1000.0,179.88563239146663,762.6828443354104,0.4786669806480912,0.0,true,9.086178219524525,29688.76299135207,347.94144172634316,,,93402.30855402209,-1.1100318305994696e-05,-0.0,-1.1100318305994696e-05,,,,,,,
HX_1,3,0.2986415094339623,0.09954716981132075,1.5814153798292232,0.0009691920219310577,101.32145561746985,1795.272253958483,2335.8798274701476,1000.0,179.88563239146663,762.6828443354104,0.4768163917441902,0.0,true,8.861211645521626,30190.300715543774,317.47922765812325,,,87270.65905881167,-1.078352830444502e-05,-0.0,-1.078352830444502e-05,,,,,,,
HX_1,4,0.398188679245283,0.09954716981132075,1.446760774211794,0.0009148365993789554,101.32144483394156,1747.5917953814842,2265.5333997893285,1000.0,179.88563239146663,762.6828443354104,0.47508547618320873,0.0,true,8.656947391325632,30665.116610747315,292.5393632490733,,,82195.36024084949,-1.0496984624627273e-05,-0.0,-1.0496984624627273e-05,,,,,,,
HX_1,5,0.49773584905660373,0.09954716981132075,1.3312054189153186,0.000866560274576525,101.32143433695693,1703.832459300911,2201.1768408025155,1000.0,179.88563239146663,762.6828443354104,0.4734525568850484,0.0,true,8.469481334007233,31118.251064625067,271.3489965472829,,,77724.29316024987,-1.0234939337227563e-05,-0.0,-1.0234939337227563e-05,,,,,,,
HX_1,6,0.5972830188679246,0.09954716981132075,1.2305196330365913,0.0008232978489796965,101.32142410201759,1663.44473782055,2141.9605546043094,1000.0,179.88563239146663,762.6828443354104,0.4719061649976882,0.0,true,8.296459365726415,31552.146889665964,253.09101851778155,,,73725.3246945069,-9.993891546485647e-06,-0.0,-9.993891546485647e-06,,,,,,,
HX_1,7,0.6968301886792453,0.09954716981132075,1.1421105184765419,0.000784327445380125,101.32141410812604,1626.001157954263,2087.223095060434,1000.0,179.88563239146663,762.6828443354104,0.4704374468677932,0.0,true,8.136050180119817,31968.648288145527,237.2057083662253,,,70125.08073364414,-9.771119136709351e-06,-0.0,-9.771119136709351e-06,,,,,,,
HX_1,8,0.796377358490566,0.09954716981132075,1.0639953122108432,0.0007490645670549959,101.3214043370069,1591.1482850208117,2036.4183564594575,1000.0,179.88563239146663,762.6828443354104,0.4690388811115278,0.0,true,7.986739653064907,32369.326956633126,223.2683088179105,,,66867.53993510448,-9.564378344676505e-06,-0.0,-9.564378344676505e-06,,,,,,,
HX_1,9,0.8959245283018867,0.09954716981132075,0.9945823323826191,0.000717020908327741,101.32139477262855,1558.5892529618313,1989.088433527633,1000.0,179.88563239146663,762.6828443354104,0.46770395663168063,0.0,true,7.847256002022668,32755.553115333558,210.94762905454516,,,63906.69554625587,-9.371790653654102e-06,-0.0,-9.371790653654102e-06,,,,,,,
HX_1,10,0.9954716981132075,0.09954716981132075,0.9325768014491319,0.0006877857594589239,101.3213854008379,1528.0726672903857,1944.8462224944183,1000.0,179.88563239146663,762.6828443354104,0.46642700201248233,0.0,true,7.716522245954663,33128.52860065335,199.98184784405123,,,61204.171802787605,-9.191770162623175e-06,-0.0,-9.191770162623175e-06,,,,,,,
