name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.32203244651629,101.32150199145605,101.25895546771295,101.25866678142027,101.19887550445719
gas in temp[°C],1796.3014096181423,891.7446296901568,836.8301922993904,349.9493595253846,345.24545038123495,227.17898050355916
gas in enthalpy[kJ/kg],2302.050308381483,1041.3226708449279,969.305292035585,365.326632676254,359.83725836982114,224.1562885878361
gas out pressure[kpa],101.32203244651629,101.32150199145605,101.25895546771295,101.25866678142027,101.19887550445719,84.92002646304142
gas out temp[°C],891.7446296901568,836.8301922993904,349.9493595253846,345.24545038123495,227.17898050355916,158.94971563751977
gas out enthalpy[kJ/kg],1041.3226708449279,969.305292035585,365.326632676254,359.83725836982114,224.1562885878361,147.46353491827938
water in temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,104.79547314070487
water in enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,440.0
water in pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.0560616130049
water out temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,124.42895197141138
water out enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,523.1630243029025
water out pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,999.9999927992161
gas avg velocity[m/s],5.665394919323578,3.368530483208537,8.947791331159955,1.8411163069188388,7.192484584353849,54.93824010039068
water avg velocity[m/s],,,,,,0.03362351073900294
pressure drop fric[kpa],-0.00032391777826983325,-1.9270996911849082e-05,-0.03755941160219612,-9.563596516033485e-06,-0.03592332444593566,-10.892913250227531
pressure drop minor[kpa],-0.0026436357054556527,-0.000511184063297313,-0.024987112140923508,-0.0002791226961764012,-0.023867952517141112,-5.385935791188247
pressure drop total[kpa],-0.002967553483725486,-0.000530455060209162,-0.06254652374311963,-0.0002886862926924347,-0.05979127696307678,-16.27884904141578
water pressure drop fric[kpa],,,,,,-0.05510561883393642
water pressure drop minor[kpa],,,,,,-0.0009631949548554338
water pressure drop total[kpa],,,,,,-0.056068813788791846
Q conv[MW],0.11865593248951024,0.010860185443364662,1.006161538793013,0.002248914959047747,0.2568269888852124,0.15571120673291478
Q rad[MW],2.44283192578642,0.13546139191637124,0.22097427552944324,0.00890416912524832,0.018843355052722558,0.00010958402673395892
Q total[MW],2.5614878582759317,0.14632157735973592,1.2271358143224562,0.011153084084296069,0.275670343937935,0.15582079075964875
UA[MW/K],0.0022690000412271777,0.00021208575396973722,0.0033115927439383457,6.633886942126088e-05,0.0028808014212191283,0.002182044927658414
steam capacity[t/h],4.0910226079470995,0.2336942098222807,1.9598923114918572,0.017812896902779325,0.44028067739884535,
