stage_name,i,x[m],dx[m],qprime[MW/m],UA_prime[MW/K/m],gas_P[kPa],gas_T[°C],gas_h[kJ/kg],water_P[kPa],water_T[°C],water_h[kJ/kg],gas_eps[-],water_x[-],boiling,gas_V[m/s],Re_gas[-],h_gas[W/m^2/K],water_V[m/s],Re_water[-],h_water[W/m^2/K],dP_fric[kPa],dP_minor[kPa],dP_total[kPa],water_dP_fric[kPa],water_dP_minor[kPa],water_dP_total[kPa],water_cp[kJ/kg/K],water_mu[Pa*s],water_k[W/m/K],water_rho[kg/m^3]
HX_1,0,0.0,0.09954716981132075,2.4524069049357102,0.0013229230263490327,101.325,1981.2459839107391,2612.28925950519,1000.0,179.88563239146663,762.6828443354104,0.4831288761266683,0.0,true,1.9315186845474988,5701.075486094522,498.33933893460045,,,117570.14659142906,-7.199886561425184e-07,-0.00014039634146542624,-0.00014111633012156875,,,,,,,
HX_1,1,0.09954716981132075,0.09954716981132075,1.2494109957048412,0.0007865558850339878,101.32485888366988,1612.0260954565865,2066.8346378237875,1000.0,179.88563239146663,762.6828443354104,0.4698843192477412,0.0,true,1.6151811612687865,6425.553388901557,235.42730266027007,,,75984.41337518944,-5.822322716201908e-07,-0.0,-5.822322716201908e-07,,,,,,,
HX_1,2,0.1990943396226415,0.09954716981132075,0.761465037958646,0.0005811604581294313,101.3248583014376,1419.863650180435,1788.945597215224,1000.0,179.88563239146663,762.6828443354104,0.4616893845940634,0.0,true,1.4505402311464957,6908.935289488732,161.50288034574203,,,54000.98839401084,-5.124903996601409e-07,-0.0,-5.124903996601409e-07,,,,,,,
HX_1,3,0.2986415094339623,0.09954716981132075,0.554514217837613,0.0004801635543764767,101.32485778894721,1300.9855975708006,1619.5835627254885,1000.0,179.88563239146663,762.6828443354104,0.4560566506891871,0.0,true,1.34868790033787,7258.847239924218,128.72643321128592,,,43429.235986135136,-4.7008094446244306e-07,-0.0,-4.7008094446244306e-07,,,,,,,
HX_1,4,0.398188679245283,0.09954716981132075,0.43836233881147324,0.0004156657958945329,101.32485731886626,1213.4262777288068,1496.2507090728611,1000.0,179.88563239146663,762.6828443354104,0.4515867405596222,0.0,true,1.2736688320229181,7547.6074831404485,108.90845702881576,,,37025.355924096715,-4.3922632029959904e-07,-0.0,-4.3922632029959904e-07,,,,,,,
HX_1,5,0.49773584905660373,0.09954716981132075,0.36132595668616213,0.00036909130004429035,101.32485687963994,1143.5447110329892,1398.751895803682,1000.0,179.88563239146663,762.6828443354104,0.4477997463468447,0.0,true,1.2137957081576531,7800.380487644504,95.13132652889419,,,32497.118224730777,-4.14844394773178e-07,-0.0,-4.14844394773178e-07,,,,,,,
HX_1,6,0.5972830188679246,0.09954716981132075,0.3058694664967217,0.0003333699895074391,101.32485646479553,1085.4615785343285,1318.3872091929456,1000.0,179.88563239146663,762.6828443354104,0.4444888124779427,0.0,true,1.1640312461020512,8027.778623659288,84.86077053840067,,,29047.455013185252,-3.9474966179721555e-07,-0.0,-3.9474966179721555e-07,,,,,,,
HX_1,7,0.6968301886792453,0.09954716981132075,0.26397968040642245,0.0003049253279465505,101.32485607004588,1035.9254212344117,1250.3569352419754,1000.0,179.88563239146663,762.6828443354104,0.44153773118012063,0.0,true,1.1215896609695502,8235.698043083681,76.86111110094714,,,26307.21942325927,-3.77738349320289e-07,-0.0,-3.77738349320289e-07,,,,,,,
HX_1,8,0.796377358490566,0.09954716981132075,0.23125618185390154,0.00028165420474758835,101.32485569230752,992.8840715219266,1191.6436214178816,1000.0,179.88563239146663,762.6828443354104,0.4388710492483552,0.0,true,1.0847126966976703,8427.973851012497,70.43132889230789,,,24067.672123800698,-3.630547195789494e-07,-0.0,-3.630547195789494e-07,,,,,,,
HX_1,9,0.8959245283018867,0.09954716981132075,0.20502972911590336,0.000262214263165506,101.32485532925281,954.9449832191282,1140.2085383914043,1000.0,179.88563239146663,762.6828443354104,0.43643596430155585,0.0,true,1.0522072476455893,8607.308005953942,65.13768197982607,,,22197.647697876702,-3.501887155028676e-07,-0.0,-3.501887155028676e-07,,,,,,,
HX_1,10,0.9954716981132075,0.09954716981132075,0.183576484686489,0.00024570099730195197,101.3248549790641,921.1168606857701,1094.6066397489171,1000.0,179.88563239146663,762.6828443354104,0.43419374927727283,0.0,true,1.0232239915886745,8775.698725447199,60.695474953306174,,,20609.410466517224,-3.387791135946468e-07,-0.0,-3.387791135946468e-07,,,,,,,
HX_1,11,1.0950188679245283,0.09954716981132075,0.1657311236233625,0.0002314796667268598,101.324854640285,890.6683659128888,1053.7762865896682,1000.0,179.88563239146663,762.6828443354104,0.4321150151554821,0.0,true,0.9971363327886184,8934.6758226665,56.909316555790106,,,19241.6404497039,-3.285607036238736e-07,-0.0,-3.285607036238736e-07,,,,,,,
HX_1,12,1.1945660377358491,0.09954716981132075,0.1506770631740064,0.00021909021397420645,101.32485431172428,863.0444673925812,1016.9150278142365,1000.0,179.88563239146663,762.6828443354104,0.43017685761077606,0.0,true,0.9734687313819919,9085.442286078764,53.640263058825425,,,18050.0005892321,-3.193331224455498e-07,-0.0,-3.193331224455498e-07,,,,,,,
HX_1,13,1.2941132075471697,0.09954716981132075,0.13782504735885828,0.000208190222229916,101.32485399239116,837.814076930205,983.4020334181586,1000.0,179.88563239146663,762.6828443354104,0.42836103643412715,0.0,true,0.9518518396507284,9228.964754906568,50.78659573357207,,,17001.539868948024,-3.1094141319957483e-07,-0.0,-3.1094141319957483e-07,,,,,,,
HX_1,14,1.3936603773584906,0.09954716981132075,0.12673928362821163,0.00019851909167597096,101.32485368144975,814.6358300783244,952.7475333733074,1000.0,179.88563239146663,762.6828443354104,0.4266527626162644,0.0,true,0.9319931833840217,9366.033962811322,48.272013516451636,,,16071.202755511482,-3.0326336446301797e-07,-0.0,-3.0326336446301797e-07,,,,,,,
HX_1,15,1.4932075471698112,0.09954716981132075,0.11709065881337431,0.0001898746834623521,101.32485337818639,793.23492569249,924.5586849008934,1000.0,179.88563239146663,762.6828443354104,0.4250398616997797,0.0,true,0.9136573184741065,9497.306576173622,46.03808465959444,,,15239.56418955774,-2.9620086541718663e-07,-0.0,-2.9620086541718663e-07,,,,,,,
