parameter,value
fuel mass flow[kg/s],0.05
air flow[kg/s],0.8451305653517908
excess air ratio[-],1.05
feedwater flow[kg/s],0.9544313777563166
steam capacity[t/h],3.437878217644311
eta direct[-],0.954379787152174
eta indirect[-],0.954379787152174
Stack loss fraction[-],0.04562021284782605
Q_flue_out[MW],0.10667715058278447
UA[MW/K],0.006622732075553613
Q_in total[MW],2.33837467919372
Q_useful[MW],2.2316975286109355
Q_balance_error[MW],-6.03094348505806e-05
pressure drop fric total[kPa],-2.0244934331233853
pressure drop minor total[kPa],-0.9278704482985421
pressure drop total[kPa],-2.9523638814219266
water pressure drop fric total[kPa],-0.017026062245675412
water pressure drop minor total[kPa],-0.00024950935069798007
water pressure drop total[kPa],-0.01727557159637339
LHV[kJ/kg],46730.96939782223
P-LHV[MW],2.336548469891112
Tad[°C],1981.4958544144984
stack temperature[°C],132.3636614698218
feedwater pressure[kPa],1000.0172758882287
drum pressure[kPa],1000.0
