name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.3223406191432,101.32189727880858,101.2692567298994,101.26901558994234,101.21837808557721
gas in temp[°C],1915.2969035755818,872.3745546357794,816.1154891616933,338.750231520337,334.0988312962096,222.78016213799089
gas in enthalpy[kJ/kg],2499.9777686340844,1024.4576087925973,950.2169149213136,354.9216911807135,349.464719996857,220.76289629556518
gas out pressure[kpa],101.3223406191432,101.32189727880858,101.2692567298994,101.26901558994234,101.21837808557721,87.63700419065907
gas out temp[°C],872.3745546357794,816.1154891616933,338.750231520337,334.0988312962096,222.78016213799089,154.5910233603525
gas out enthalpy[kJ/kg],1024.4576087925973,950.2169149213136,354.9216911807135,349.464719996857,220.76289629556518,143.60628993910225
water in temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,104.79547304706188
water in enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,440.0
water in pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.0565955946527
water out temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,122.8713541532415
water out enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,516.542006039287
water out pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,999.9999931416598
gas avg velocity[m/s],5.254453569192218,3.0557233292731496,8.093371998271575,1.6694497047018064,6.552483776485921,49.60288336460996
water avg velocity[m/s],,,,,,0.03381376843483901
pressure drop fric[kpa],-0.00028222160447567414,-1.6345391597677493e-05,-0.03178546534824971,-8.095569768538183e-06,-0.030596815397171132,-9.112238979936611
pressure drop minor[kpa],-0.0023771592522904123,-0.0004269949429996714,-0.020855083560934184,-0.00023304438728631067,-0.020040688968016418,-4.469134914981499
pressure drop total[kpa],-0.0026593808567660867,-0.00044334033459734887,-0.0526405489091839,-0.00024113995705484886,-0.05063750436518755,-13.581373894918112
water pressure drop fric[kpa],,,,,,-0.055627603648224236
water pressure drop minor[kpa],,,,,,-0.0009748493449659083
water pressure drop total[kpa],,,,,,-0.05660245299319016
Q conv[MW],0.1121088882100946,0.009934946213523404,0.8986554768806229,0.001971510526952654,0.22267977423466054,0.1442303023290123
Q rad[MW],2.648259246568229,0.12895279579398108,0.21500874451134683,0.008237287764081837,0.018092596284863337,0.00011246294919222584
Q total[MW],2.7603681347783247,0.13888774200750448,1.1136642213919696,0.01020879829103449,0.24077237051952394,0.14434276527820447
UA[MW/K],0.002367044056605558,0.00020738440986508636,0.0031443399431513924,6.504937102008638e-05,0.0027274133065061865,0.0021278287912961163
steam capacity[t/h],4.396037685566437,0.2211863483843795,1.7735713670304556,0.01625807132255491,0.38344320857478403,
