parameter,value
fuel mass flow[kg/s],0.1
air flow[kg/s],2.0927042570615773
excess air ratio[-],1.3
feedwater flow[kg/s],1.8601860657871863
steam capacity[t/h],6.69377166456695
eta direct[-],0.9290981704309756
eta indirect[-],0.9290981704309756
Stack loss fraction[-],0.07090182956902433
Q_flue_out[MW],0.3316432153149929
UA[MW/K],0.011179354655059509
Q_in total[MW],4.677498695462178
Q_useful[MW],4.3458554801471845
Q_balance_error[MW],-0.00012182190570175777
pressure drop fric total[kPa],-12.971082892027932
pressure drop minor total[kPa],-6.484722743166491
pressure drop total[kPa],-19.455805635194423
water pressure drop fric total[kPa],-0.05446290895231956
water pressure drop minor total[kPa],-0.0009502122380441169
water pressure drop total[kPa],-0.05541312119036366
LHV[kJ/kg],46730.96939782223
P-LHV[MW],4.673096939782224
Tad[°C],1692.0501024238897
stack temperature[°C],163.16068537863322
feedwater pressure[kPa],1000.0553959285537
drum pressure[kPa],1000.0
