name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.32246310867487,101.32202394876956,101.27014323079018,101.26991213117451,101.2215609178177
gas in temp[°C],1981.2459839107391,966.414927565651,898.3045970083159,366.21792720465555,360.4637165962571,233.3552010645916
gas in enthalpy[kJ/kg],2612.28925950519,1155.7265896411711,1063.9966980348797,388.9373094692971,382.1073503499678,233.79191586819385
gas out pressure[kpa],101.32246310867487,101.32202394876956,101.27014323079018,101.26991213117451,101.2215609178177,88.64675551318481
gas out temp[°C],966.414927565651,898.3045970083159,366.21792720465555,360.4637165962571,233.3552010645916,157.04257568243509
gas out enthalpy[kJ/kg],1155.7265896411711,1063.9966980348797,388.9373094692971,382.1073503499678,233.79191586819385,146.94051946176356
water in temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,104.79547290539216
water in enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,440.0
water in pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.0574034370321
water out temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,124.2398210501189
water out enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,522.3588331354424
water out pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,999.9999976540709
gas avg velocity[m/s],5.517016963558387,3.1599355822242345,8.227343924867235,1.670911490475949,6.482847794265536,47.853326007218726
water avg velocity[m/s],,,,,,0.03388069317789413
pressure drop fric[kpa],-0.0002905498616863133,-1.6536441747707653e-05,-0.031611268103539474,-7.878725371378073e-06,-0.029418162552334877,-8.450683326979076
pressure drop minor[kpa],-0.0022463414634468198,-0.0004226234635688658,-0.020269449875877605,-0.0002232208902729854,-0.018933050804491938,-4.124122077653778
pressure drop total[kpa],-0.002536891325133133,-0.00043915990531657344,-0.05188071797941708,-0.00023109961564436347,-0.048351213356826815,-12.574805404632855
water pressure drop fric[kpa],,,,,,-0.05642793203132804
water pressure drop minor[kpa],,,,,,-0.0009778509300641949
water pressure drop total[kpa],,,,,,-0.05740578296139225
Q conv[MW],0.07263152586547761,0.008579535379278198,0.9238137604364445,0.0021211926696561518,0.24268904127992,0.1553538230456252
Q rad[MW],2.535034656416669,0.15564337232000242,0.28473676298059825,0.010106430008721742,0.02283829667667689,0.00013517555011472967
Q total[MW],2.607666182282147,0.16422290769928063,1.2085505234170433,0.012227622678377893,0.2655273379565969,0.1554889985957399
UA[MW/K],0.00209313795746261,0.00021717917778012492,0.0029764960327809866,6.64956130957633e-05,0.00250613720153075,0.0021449122196254672
steam capacity[t/h],4.163611584014016,0.262211630270399,1.9296699068903111,0.01952361532107262,0.4239625101173595,
