stage_name,i,x[m],dx[m],qprime[MW/m],UA_prime[MW/K/m],gas_P[kPa],gas_T[°C],gas_h[kJ/kg],water_P[kPa],water_T[°C],water_h[kJ/kg],gas_eps[-],water_x[-],boiling,gas_V[m/s],Re_gas[-],h_gas[W/m^2/K],water_V[m/s],Re_water[-],h_water[W/m^2/K],dP_fric[kPa],dP_minor[kPa],dP_total[kPa],water_dP_fric[kPa],water_dP_minor[kPa],water_dP_total[kPa],water_cp[kJ/kg/K],water_mu[Pa*s],water_k[W/m/K],water_rho[kg/m^3]
HX_1,0,0.0,0.09954716981132075,2.729864263089519,0.0014292346726222354,101.325,2052.157269947184,2735.1748406719894,1000.0,179.88563239146663,762.6828443354104,0.4901976134723298,0.0,true,7.624638076290487,21354.219126463173,571.8360409274254,,,126085.54914867142,-7.693652340568627e-06,-0.002117182771005798,-0.002124876423346367,,,,,,,
HX_1,1,0.09954716981132075,0.09954716981132075,2.1570163223321765,0.001177276769276162,101.32287512357665,1946.654364265239,2576.237878837341,1000.0,179.88563239146663,762.6828443354104,0.48689968239800885,0.0,true,7.278848709872329,22024.906631288217,423.2745759619805,,,108060.21703008268,-7.290281629223815e-06,-0.0,-7.290281629223815e-06,,,,,,,
HX_1,2,0.1990943396226415,0.09954716981132075,1.8153063982114612,0.001058289540076606,101.32286783329502,1862.8446657797253,2450.6530189831415,1000.0,179.88563239146663,762.6828443354104,0.48413462039151756,0.0,true,7.004033051856483,22598.192831077067,360.75835681013996,,,95909.34492895538,-6.971934442231791e-06,-0.0,-6.971934442231791e-06,,,,,,,
HX_1,3,0.2986415094339623,0.09954716981132075,1.588720579371343,0.0009721184899636469,101.32286086136058,1791.973682109423,2344.9630447106856,1000.0,179.88563239146663,762.6828443354104,0.4816868104213954,0.0,true,6.771644027329105,23114.19537577441,318.7306938097131,,,87610.59439464398,-6.704311291938156e-06,-0.0,-6.704311291938156e-06,,,,,,,
HX_1,4,0.398188679245283,0.09954716981132075,1.412321921677357,0.0009007128979433398,101.32285415704928,1729.6721484884301,2252.465250770413,1000.0,179.88563239146663,762.6828443354104,0.4794463685936088,0.0,true,6.567354611494746,23593.789587533123,286.1552917481753,,,80932.06267249014,-6.470274761463997e-06,-0.0,-6.470274761463997e-06,,,,,,,
HX_1,5,0.49773584905660373,0.09954716981132075,1.2676680559454927,0.000839587594137751,101.32284768677452,1674.054171335591,2170.237662240933,1000.0,179.88563239146663,762.6828443354104,0.4773719633867376,0.0,true,6.384980873318599,24044.309348436913,259.81845498505714,,,75259.42599950143,-6.262338912231607e-06,-0.0,-6.262338912231607e-06,,,,,,,
HX_1,6,0.5972830188679246,0.09954716981132075,1.1467090213721245,0.0007866071377443794,101.32284142443561,1623.9320871027185,2096.432047744335,1000.0,179.88563239146663,762.6828443354104,0.4754391424097538,0.0,true,6.220628410836473,24469.87056491435,238.06851142947548,,,70353.71162992851,-6.075771708682302e-06,-0.0,-6.075771708682302e-06,,,,,,,
HX_1,7,0.6968301886792453,0.09954716981132075,1.0442934006570597,0.0007402789054991743,101.3228353486639,1578.4187140723125,2029.668857195878,1000.0,179.88563239146663,762.6828443354104,0.4736292976756882,0.0,true,6.071388115646017,24873.57802235707,219.81745373260384,,,66067.07256867163,-5.907048196721428e-06,-0.0,-5.907048196721428e-06,,,,,,,
HX_1,8,0.796377358490566,0.09954716981132075,0.9566676318634136,0.0006994503969937703,101.3228294416157,1536.8183136866637,1968.8684640732808,1000.0,179.88563239146663,762.6828443354104,0.47192729276277334,0.0,true,5.934978630037426,25257.970285919113,204.2939519413962,,,62289.62766582038,-5.753415366901206e-06,-0.0,-5.753415366901206e-06,,,,,,,
HX_1,9,0.8959245283018867,0.09954716981132075,0.8809955606671961,0.0006632114792077062,101.32282368820034,1498.5747595062649,1913.1697800938243,1000.0,179.88563239146663,762.6828443354104,0.47032058683662403,0.0,true,5.809576390672697,25625.165209816674,190.93440265516526,,,58935.8111669001,-5.612681393738005e-06,-0.0,-5.612681393738005e-06,,,,,,,
