name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.32107864221204,101.32040600636532,101.24287771253947,101.24251896681118,101.16955268394746
gas in temp[°C],1981.2459839107387,940.5044817734841,881.4848248371201,362.53150109988746,357.6360447631788,231.94176378902512
gas in enthalpy[kJ/kg],2612.289259505189,1120.7116503206535,1041.502428069094,384.5605152360462,378.75483523741553,232.1690564900986
gas out pressure[kpa],101.32107864221204,101.32040600636532,101.24287771253947,101.24251896681118,101.16955268394746,80.83787199783374
gas out temp[°C],940.5044817734841,881.4848248371201,362.53150109988746,357.6360447631788,231.94176378902512,162.5410654850753
gas out enthalpy[kJ/kg],1120.7116503206535,1041.502428069094,384.5605152360462,378.75483523741553,232.1690564900986,153.1476586654312
water in temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,104.79546392745965
water in enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,440.0
water in pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.1085982821822
water out temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,122.5367424119014
water out enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,515.1202144010625
water out pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000002092156
gas avg velocity[m/s],6.623518538980691,3.8802081702706395,10.191019543952134,2.0785328312359193,8.07609299406061,62.61856539284429
water avg velocity[m/s],,,,,,0.04219809401415913
pressure drop fric[kpa],-0.00041144925128662913,-2.404710392655319e-05,-0.04616723921052071,-1.1661983052623316e-05,-0.0434743909830584,-13.556546158592996
pressure drop minor[kpa],-0.003509908536635657,-0.0006485887428229821,-0.03136105461525751,-0.0003470837452329073,-0.029491891880637104,-6.775134527520711
pressure drop total[kpa],-0.003921357787922286,-0.0006726358467495354,-0.07752829382577822,-0.0003587457282855306,-0.0729662828636955,-20.331680686113707
water pressure drop fric[kpa],,,,,,-0.10707930363052003
water pressure drop minor[kpa],,,,,,-0.0015187693362032017
water pressure drop total[kpa],,,,,,-0.10859807296672326
Q conv[MW],0.13786790357387038,0.012729711101952802,1.185569282935035,0.0026447768022758345,0.3044694624511684,0.1767060185416599
Q rad[MW],3.2000733386082163,0.16452942121030711,0.28457450571104237,0.010347552868051335,0.023568984304958775,0.00013278905497747425
Q total[MW],3.3379412421820898,0.17725913231225998,1.470143788646077,0.012992329670327173,0.32803844675612703,0.17683880759663742
UA[MW/K],0.0026990699779689017,0.00024046424185733366,0.0037036072907043007,7.193574847560824e-05,0.00315910703208667,0.002282179153018917
steam capacity[t/h],5.312553038891556,0.2821195682345706,2.3398305378418054,0.020678147236425286,0.5220947646305095,
