name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.32264093156373,101.32227730081148,101.2787130712627,101.27851488830551,101.23624453404418
gas in temp[°C],2052.157269947184,848.1339132234413,791.0700436858864,326.56694133263375,322.00235671130326,218.19554021550294
gas in enthalpy[kJ/kg],2735.1748406719894,1002.2476787383762,926.4262833336129,343.6573734240928,338.2676231716736,217.37514646320184
gas out pressure[kpa],101.32264093156373,101.32227730081148,101.2787130712627,101.27851488830551,101.23624453404418,90.04622659153131
gas out temp[°C],848.1339132234413,791.0700436858864,326.56694133263375,322.00235671130326,218.19554021550294,150.15684530457787
gas out enthalpy[kJ/kg],1002.2476787383762,926.4262833336129,343.6573734240928,338.2676231716736,217.37514646320184,139.77794015792665
water in temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,104.79547295251291
water in enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,440.0
water in pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.0571347401151
water out temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,121.30686845330575
water out enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,509.8960955815151
water out pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,999.9999866493841
gas avg velocity[m/s],4.822736760333713,2.74052160753646,7.246175934000518,1.5004732652503723,5.922076275115964,44.53654976835307
water avg velocity[m/s],,,,,,0.03400818507517155
pressure drop fric[kpa],-0.0002418856652493778,-1.3617756979150202e-05,-0.02645922566099557,-6.749931515759709e-06,-0.02569891712203292,-7.528551817769843
pressure drop minor[kpa],-0.002117182771005798,-0.00035001299526876993,-0.01710500388778251,-0.00019143302567920333,-0.016571437139283333,-3.6614661247430043
pressure drop total[kpa],-0.0023590684362551763,-0.0003636307522479201,-0.04356422954877808,-0.00019818295719496306,-0.042270354261316256,-11.190017942512847
water pressure drop fric[kpa],,,,,,-0.05616124798878699
water pressure drop minor[kpa],,,,,,-0.0009868427421760788
water pressure drop total[kpa],,,,,,-0.057148090730963066
Q conv[MW],0.10470442193454507,0.008967048651065148,0.789942360373264,0.0016992543595617934,0.18950711569513234,0.13256015197157794
Q rad[MW],2.8582527668389326,0.12067231155084988,0.20647538951557337,0.007516158888468469,0.017194771433374525,0.00011549083304998481
Q total[MW],2.962957188773479,0.12963936020191505,0.996417749888837,0.009215413248030262,0.20670188712850682,0.13267564280462796
UA[MW/K],0.002456834171082606,0.00020104071954015084,0.002971158704074414,6.364710606297468e-05,0.0025718310380834614,0.002072059612999401
steam capacity[t/h],4.704899187632983,0.2058551918368201,1.5822182918328624,0.014633215244769621,0.32822328466908735,
