name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.32249180181356,101.32208927369891,101.27409313231317,101.27387404569274,101.22751878999114
gas in temp[°C],1981.2459839107391,860.8685681096794,804.1367185550602,332.77722753950354,328.16485678641834,220.5082684411713
gas in enthalpy[kJ/kg],2612.28925950519,1014.0189711586983,938.9043828879011,349.3886892329869,343.960936132601,219.0618028328442
gas out pressure[kpa],101.32249180181356,101.32208927369891,101.27409313231317,101.27387404569274,101.22751878999114,88.87846565834099
gas out temp[°C],860.8685681096794,804.1367185550602,332.77722753950354,328.16485678641834,220.5082684411713,152.38352541432988
gas out enthalpy[kJ/kg],1014.0189711586983,938.9043828879011,349.3886892329869,343.960936132601,219.0618028328442,141.6869292016374
water in temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,104.79547299623715
water in enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,440.0
water in pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.0568854105127
water out temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,122.08677760733354
water out enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,513.2085938766146
water out pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,999.9999931831245
gas avg velocity[m/s],5.041041876271002,2.898236977022768,7.668487032500493,1.5845727337404074,6.235948875367701,47.03790833305927
water avg velocity[m/s],,,,,,0.03391426148608761
pressure drop fric[kpa],-0.00026185672299712965,-1.4955271904767272e-05,-0.029064536136726354,-7.407241662822478e-06,-0.02809386681231517,-8.296722409394967
pressure drop minor[kpa],-0.0022463414634468198,-0.0003875728427669513,-0.018931605248974567,-0.00021167937876874612,-0.018261388889246992,-4.052330722255164
pressure drop total[kpa],-0.0025081981864439494,-0.00040252811467171855,-0.04799614138570092,-0.0002190866204315686,-0.04635525570156216,-12.34905313165013
water pressure drop fric[kpa],,,,,,-0.055911202858177814
water pressure drop minor[kpa],,,,,,-0.0009810245300526522
water pressure drop total[kpa],,,,,,-0.05689222738823048
Q conv[MW],0.10851106743142605,0.009455548958115801,0.8443481148932045,0.0018345085190495597,0.20594360480125387,0.13840935512194924
Q rad[MW],2.7528525129578587,0.12502118354804273,0.21105458974401692,0.00788275563113852,0.017661820670933286,0.00011394144671264829
Q total[MW],2.8613635803892845,0.1344767325061585,1.0554027046372212,0.00971726415018808,0.2236054254721872,0.13852329656866186
UA[MW/K],0.0024132116886717257,0.00020441429876645088,0.0030584707659601987,6.436104486241858e-05,0.002649887293612528,0.002109939784710054
steam capacity[t/h],4.550162898827438,0.21384595903810907,1.6783096922304002,0.015452469975268338,0.3555791084828333,
